id,label,text
70,B,예산이 부족해서 한 번에 구매할 수 없습니다.
71,B,나는 같은 금액으로 구매하고 싶다.
72,B,자금 부족으로 프로젝트 예산이 삭감되었다.
73,B,이 예산은 프로젝트를 수행하기에 충분하지 않다.
74,B,이번 프로젝트는 올해 남는 예산으로 진행하는 것이다.
75,B,올해의 예산이 그 정도 규모의 프로젝트를 허용하지 않습니다.
76,B,나도 그런 줄 알았는데 좋지 않은 소식이 있어요. 프로젝트 비용의 일부가 삭감돼서 훨씬 적은 경비로 작업해야 된대요.
77,B,이는 미래의 큰 사업 프로젝트 비용을 허용하지 않았다.
78,B,어느 한 프로젝트에 드는 비용에 대해서는 2억원이라는 상한선이 있다.
79,B,"그러나, 이 프로젝트의 비용 감당에 대한 우려가 제기되었다."
80,B,나는 그 프로젝트에 비용을 지불할 수가 없다.
81,B,그 정부는 새 프로젝트에 즉각적으로 비용을 쓰는 것을 원치 않는다.
82,B,비용이 너무 많이 들어서 그 프로젝트를 포기했다
83,B,나는 당신을 도와줄 여력이 없다
84,B,지금 당장은 집을 살 여력이 없다
85,B,우리에게는 충분히 그러할 여력이 있다.
86,B,투자할 여력이 없다
87,B,얼마 정도는 감당할 여력이 있다.
88,B,내 월급으로는 새 차를 구매할 여력이 없어.
89,B,십 대의 구매력이 놀랄 만큼 커졌다
90,B,나날이 증가하고 있는 인도의 중산층은 구매력을 갖추고 있습니다.
91,B,구매력이 증대하고 있다
92,B,우리는 여행 경비가 충분하다.
93,B,나는 그 청구서를 지불하는 데 20달러가 부족하다.
94,B,나는 그걸 살 여유가 된다. 하지만 간신히 그럴 수 있을 정도이다.
95,B,우리는 그만큼의 값을 지불할 여유가 없다.
96,B,그 값은 월부로 지불할 수 있다.
97,B,얼마까지 지불하실 각오가 되어 있으세요?
98,B,5천만원까지는 내가 지불을 재가할 수 있어요.
99,B,지불은 수표로도 할 수 있고 현금으로도 할 수 있습니다.
100,B,그 가격은 우리가 지불할 수 있는 정도를 훨씬 넘어선다.
101,A,최근 경기 침체로 인해 당사의 주요 고객 몇 분께서 당사로부터 신규 구입을 미루기로 결정하셨으므로 이번 주문을 부득이하게 취소하게 됐습니다.
102,A,사장님은 그 에이전시의 안전 담당 책임자와 기술 책임자의 발사 반대에도 불구하고 이 프로젝트를 계속 추진하기로 결정했습니다.
103,A,저희 CEO께서 제안서를 검토하실 수 있도록 3월 22일로 결정 날짜를 연장해도 되겠습니까?
104,A,네 제안을 한 번 생각해 보고 내일 내 결정을 알려 줄께.
105,A,전무는 결정을 내리지 못하고 그들의 제안에 대해 계속 이리 재고 저리 재고했다.
106,A,씨에프오는 결정을 내리기 전에 제안에 대해 열심히 주판을 놓으면서 따져봅니다.
107,A,궁리 끝에 그녀는 그들의 제안을 받아들이기로 결정했다
108,A,상무는 그의 제안을 거절하기로 결정했다.
109,A,"이 제안은 열렬하게 갈채를 받았고, 이를 채택하기로 결정되었습니다."
110,A,"결론적으로, 우리는 이 계약을 취소하기로 한 그의 결정을 수용하는 것 외의 다른 대안이 없다"
111,A,그것들을 교체하기로 결정했다.
112,A,대표님은 그 기계를 채택하기로 결정했다.
113,A,매니저는 우선 현판을 검사하고 수리를 할지 나중에 교체를 할지 결정할 것이라고 발표했다.
114,A,그 문제는 그 위원회의 권한밖이라고 그들은 결정했다.
115,A,귀하의 문의에 답을 하자면 색깔이야말로 가격 결정에 중요한 요인인데요.
116,A,씨엠오는 그 상품이 크리스마스 쇼핑 기간이 시작될 무렵에 상점에 유통돼야 한다고 결정했다.
117,A,현명한 결정을 하셨네요. 아시아나 남미 시장으로 진출할 계획은 있으세요?
118,A,단체로 구입하기에 좋은 선물에 대한 제안이 있을 경우 이메일로 보내주시면 다음 주 금요일까지 무엇을 살지 결정하도록 하겠습니다.
119,A,우리는 편안함이 비용보다 더 중요한지 결정해야 할 것이다.
120,A,내 상사가 결정권을 쥐고 있기 때문에 그에게 물어봐라.
121,A,누가 결정권을 가지고 있는가?
122,A,"만약에 팀장님이 결정권이 있다면, 이 건을 어떻게 진행하고 싶으신가요?"
123,A,"고객님이 이 계약서에 서명하신다면, 결정권을 가진 분이시군요."
124,A,"만약 결정권을 가진 분이면, 저희 제품의 장점을 더욱 자세히 알려드릴게요."
125,A,이 계약을 서명하는 최종 결정권은 전무님에게 있어요.
126,A,"이 프로젝트에 대한 최종 결정권이 제게 없기 때문에, 다른 팀과 함께 논의해보겠습니다."
127,A,이 미팅에서 이 프로젝트에 대한 결정권을 가진 분이 참석할 예정입니다.
128,A,"과장님이 이 일을 위해 결정권을 가지고 있다면, 오늘 바로 결정하실 수 있나요?"
129,A,저는 이 결정을 내릴 수 있는 결정권이 없어요.
130,A,이 일을 위한 결정권이 있는 분은 누구인가요?
131,A,과장님이 보고하시는 상무님이 이 일에 대한 최종 결정권이 있는지 궁금합니다.
132,A,"제가 이 건의 결정권을 가진 주요 책임자라면, 여기서 바로 서명을 하면 되는 건가요?"
133,A,"이번에 인사이동이 있어서 구매결정권한의 변동이 생겨서, 최종 결재권자가가 변경 됐어요."
134,A,구매결정권을 가진 분이 누구신지 어떻게 확인할 수 있을까요?
135,A,아직 결정권을 가진 대표의 최종 결정이 나지 않았습니다. 조금만 더 기다려 주세요.
136,A,진행여부에 대한 결정권을 가진 최고재무책임자의 승인을 저도 기다리고 있어요.
137,A,"이사회 의장이 결정권을 가지고 있어서, 다들 눈치를 보고 있죠."
138,A,이 프로젝트는 규모가 커서 결정권을 가진 윗 분과 논의를 해야될 거 같아요.
139,A,결정권을 가진 분에게 승인을 받는데 얼마나 걸릴까요?
140,A,아버님이 결정권이 없으세요?
141,A,"이 프로젝트 결정권은 없지만, 제게 필요한 자료를 보내주실 수 있나요?"
142,A,CIO는 그 제안의 수락 여부를 결론을 내리지 못했다.
143,A,저희 팀이 해당 디자인을 담당하고 있기 때문에 건축 디자인팀에 있는 조차장이 제게 샌프란시스코 사무실 프로젝트의 냉방 시스템에 대한 귀하의 문의에 직접 답변해 달라고 부탁했습니다.
144,A,사무용품 주문은 누가 담당하죠?
145,A,지난해 마케팅 담당자들은 광고비로 십만 달러를 지출 했는데요.
146,A,동남 아시아 지역 담당자는 누구인가요?
147,A,기업의 채용 담당자들은 그러한 데이터 베이스를 검색하기 위해 흔히 키워드를 사용한다.
148,A,"앞으로 이런 문제를 해결하기 위해서, 우리는 비품 담당자를 새로 임명했는데, 그 사람의 업무는 사무실 비품의 용도를 감독하는 것이 될 것입니다."
149,A,이진국은 보다비에서 인사담당자로 16년간 일해오고 있습니다.
150,A,"우리가 그 아이디어 전부 다 마음에 든다 해도 마케팅 담당자가 '이거를 판매할 생각이 없습니다.'라고 한다면, 그 아이디어는 선택되지 않는다는 겁니다."
151,A,조사 결과들은 많은 사람들이 마케팅 담당자들이 광고를 그들의 이익에 맞추어주길 바란다는 것을 보여주었다.
152,A,마케팅담당자는 기업의 이윤을 만들기 위해 가격을 조정합니다.
153,A,길복남은 재무담당자의 직책을 맡고 있다.
154,A,그는 그 자신이 구매력이 있으며 그 회사의 구매 의사결정에 중요한 영향력을 끼치기 때문에 마케팅 담당자들에게는 중요한 요소이다.
155,A,그녀는 이 위원회의 연락 담당자이다.
156,A,그는 목재 회사 회계 담당자의 아들이다.
157,A,그는 그의 재무 담당자가 없으면 아무 것도 아니다.
158,A,그는 공식적으로 보안 방어 담당자입니다.
159,A,우리는 결제일정때문에 회계담당자가 혼동하는 것을 원하지 않아요.
160,A,이번 프로젝트의 담당자는 제가 아니에요
161,A,이 프로젝트 담당자는 누구인가요? 프로젝트를 리드하고 있는 분을 찾을 수 있을까요?
162,A,"이번 프로젝트의 범위와 일정을 조정해야 할 필요가 있어서, 담당자가 변경 됐어요."
163,A,계약서 관련한 담당이 연락 드릴겁니다.
164,A,회사 정책상 관리자의 지출 권한을 만불까지로 제한한다.
165,A,누구에게 그런 권한이 있을까요?
166,A,최종 권한은 이사회에 있다.
167,A,전반적인 권한이 최고 위원회에 주어진다.
168,A,최고운영책임자에게 그 제안들을 승인할 권한이 있다.
169,A,내가 그에게 내가 없는 동안 나를 대행할 권한을 주었다.
170,A,나는 그들이 그 계획을 받아들이도록 모든 권한을 행사했다.
171,A,그 문제는 부서장님의 권한밖이라고 그들은 결정했다.
172,A,팀장은 주문할 권한이 없었기에 개인 의견이라는 조건으로 발언했다.
173,A,나는 아무래도 그 권한을 갖고 있지 않는 것 같아요.
174,A,이것은 제가 결정할 수 있는 권한 내에 있는 문제가 아니에요.
175,A,"저는 이 일에 대한 권한이 없어서, 상사에게 먼저 확인을 해야겠습니다."
176,A,이 부서에서 이에 대한 권한이 없는 것 같아요.
177,A,"제가 이 결정에 대한 권한을 가지고 있지 않아서, 조금 더 상황을 파악해봐야겠습니다."
178,A,이번 계약서에 대한 승인 권한이 있는 분이 누구인가요?
179,A,이것은 제가 직접적인 권한을 가지고 해결할 수 있는 문제가 아니에요.
180,A,이번 프로젝트의 예산에 대한 권한이 있는 사람을 찾을 수 있을까요?
181,A,이 문제를 해결하기 위해서는 권한이 필요한 것 같아요. 누구에게 연락을 해야 할까요?
182,A,"제가 이 일에 대한 권한을 가지고 있지 않아서, 다른 부서와 상의해야 합니다."
183,A,"예산이 초과돼서 계속 진행하기 위해서는, 추가 예산의 권한을 가진 최고재무책임자의 승인이 있어야 합니다."
184,A,"이번 프로젝트에 대해 스폰서가 필요하다고 생각하는데, 다른 기업의 경우, 회사 내에서 그런 역할을 누가 하나요?"
185,A,이 프로젝트의 스폰서를 찾기 위해 회사 내부에서 어떤 절차가 필요한가요?
186,A,이번 프로젝트에서는 더 많은 지원과 후원이 필요합니다. 회사 내에서 스폰서를 구할 수 있는 방법이 뭘까요?
187,A,이 프로젝트의 스폰서를 찾기 위해 어떤 제안서나 계획서가 필요한가요?
188,A,"이사회 의장님이 이번 프로젝트의 스폰서 역할을 맡아주기로 했는데, 어떤 지원을 요청하면 될까요? "
189,A,이번 프로젝트의 스폰서를 아무도 안 하려고 하는데 어떡하죠?
190,A,"이번 프로젝트를 후원해주실 스폰서를 찾는다면, 회사 내부에서 어떤 사람이 이를 책임지고 있는지 알 수 있을까요?"
191,A,재무팀 매니저 존 와일리가 이번 프로젝트 스폰서입니다.
192,A,"이번 프로젝트의 스폰서로, 회사 내에서 어떤 분야나 부서가 이를 담당하고 있나요?"
193,A,이 프로젝트는 규모가 상당히 큽니다. 회사 내에서 스폰서 역할을 누가 맡아주면 좋을지 조언 부탁합니다.
194,A,어제 구매 책임자들과 함께한 회의 의사록을 보내주시면 감사하겠습니다.
195,A,기획 책임자는 IT 프로젝트를 수행하는 데 가장 중요한 구성원입니다.
196,A,예상하지 못한 많은 변수 때문에 프로젝트의 책임자는 원래 세워졌던 계획을 변경했다.
197,A,최고 제품 책임자는 시장 변화에 대응하기 위해 제품을 수정하라고 디자이너들에게 지시했다.
198,A,남미 공장 책임자가 누구죠?
199,A,전시회 책임자는 올해의 전시회는 작년 규모의 3배가 될 것이라고 밝혔다.
200,A,이제 공장 책임자가 바뀔 것 같은데요.
201,A,그는 그 계획을 실행하는 책임자이다.
202,A,제가 경리부 책임자와 이야기를 해보죠.
203,A,짐 토마스씨는 부사장이자 동남아 및 태평양 지역 총책임자이기도 합니다.
204,A,김부장이 이 프로그램의 책임자이다.
205,N,"음, 우선 침낭이 필요해."
206,N,우선 필요한 물량은 확보했다
207,N,컴퓨터가 오래되어 교체가 필요하다
208,N,닳아서 못 쓰게 된 장비의 점진적인 교체
209,N,제품을 즉시 교체해 드리겠습니다.
210,N,납품업체 교체를 고려해 보시는 건 어떨지 제안하는 바입니다.
211,N,우리는 파손된 물품을 교체해 드립니다.
212,N,기계가 고장나서 작업이 중단되었다.
213,N,그게 고장 났어. 이젠 내가 또 새 것을 사야 해.
214,N,이 책을 열 권 주문하고 싶어요.
215,N,오프라인 주문은 이 번호로 전화를 하세요.
216,N,이 품목들은 주문에 따라 맞춤으로 제작할 수도 있다
217,N,다음 품목을 주문하고 싶습니다.
218,N,다음 교재의 주문을 받아주십시오.
219,N,다음에 대한 주문을 발주하고 싶습니다.
220,N,귀사의 가격과 맞으면 기꺼이 첫 주문을 발주하겠습니다.
221,N,"지난달에 보내주신 카탈로그와 가격표를 토대로 하여, 당사는 첫 주문을 다음과 같이 발주하고 싶습니다."
222,N,신형 전함과 잠수함의 발주가 곧 진행되어야만 한다.
223,N,수량 확인해 주시는 대로 추가 발주 요청하고자 합니다.
224,N,첨부된 목록상의 품목 납품에 대한 견적을 보내주시기 바랍니다.
225,N,"Stephen 씨, Colors Korea 사의 납품 건에 관한 제 메일에 답변을 보내주시면 대단히 감사하겠습니다."
226,N,다소 미흡한 점이 있다
227,N,이제 개선책을 취해야 한다.
228,N,그 계획을 어떻게 개선할 수가 있을까요?
229,N,자네 작업은 개선해야 할 여지가 좀 있다.
230,N,이번에 새로 부임하신 김 부장님께서 우리 회사의 니즈를 다시 한번 살펴보시고 계획을 세우시려고 합니다.
231,N,"고객의 니즈를 파악하고, 그에 맞는 맞춤형 서비스를 제공하는 것이 이 프로젝트의 주된 목적입니다."
232,N,사장님이 최근 고객들의 니즈가 많이 변화하고 있다고 하셨습니다. 이를 반영한 제안서를 보내주실 수 있을까요?
233,N,이번 기회에 니즈 조사를 진행하여 고객들이 실제로 필요로 하는 것을 파악하고자 합니다.
234,N,이 회의에서는 대형 프로젝트를 수행하기 위해 우리 회사의 니즈와 우리가 제공할 수 있는 서비스에 대해 논의하려고 합니다.
235,N,우리 고객의 니즈가 제대로 반영이 안 된 거 같은데요.
236,N,저희 공장 생산팀의 니즈는 품질유지입니다.
237,N,"저희 본부장님께서는 각 부서의 니즈에 대한 분석을 통해, 더욱 체계적인 프로세스를 마련하시려고 합니다."
238,N,"이번에 우리가 수행한 설문 조사를 통해 고객들의 니즈와 욕구를 파악하고, 이에 맞춘 새로운 제품을 개발하게 되었습니다. 이 제품에 맞는 디자인이 가능할까요?"
239,N,최근 고객들의 니즈가 급변하는 추세입니다. 이를 실시간 반영할 수 있는 데이터 분석 시스템이 필요합니다.
240,N,보내드린 이메일 상의 제 비즈니스에 필요한 니즈를 충족시켜 줄 수 있을까요?
241,N,제가 가진 문제를 해결할 수 있는 제품을 못 찾았어요. 제 니즈를 충족시켜 줄 수 있는 제품이 있나요?
242,N,"저희 홈페이지를 보시고, 저희 니즈를 충족시켜 줄 수 있는 제품을 제안해 줄 수 있을까요?"
243,N,제가 필요로 하는 니즈를 충족시켜 줄 수 있는 제품을 추천해주세요.
244,N,이 제품이 제가 찾고 있는 니즈를 충족시켜 줄 수 있을까요?
245,N,"제가 원하는 니즈에 맞는 제품이 있다면, 그 제품의 상세 정보를 알려주세요."
246,N,이 제품이 제가 가진 니즈를 얼마나 충족시켜 줄 수 있는지 알려주세요.
247,N,"죄송하지만, 더 구체적으로 니즈에 대해 얘기해주시겠어요? 니즈를 이해하는 데 더 도움이 될 만한 추가 정보가 있다면 알려주세요."
248,N,니즈에 대해 더 자세히 파악하기 위해 질문 몇 가지 더 드려도 될까요?
249,N,"제가 니즈를 제대로 파악하지 못했다면, 다시 한 번 설명해주실 수 있을까요?"
250,N,"제가 이해한 바로는 니즈가 이것인데, 맞나요? 혹시 추가로 더 필요한 것이 있나요?"
251,N,더 자세한 니즈를 이해하기 위해서는 어떤 정보가 필요할까요?
252,N,니즈를 파악하는 데 있어서 놓치고 있는 부분이 있나요? 
253,N,"이해한 바로는 니즈가 이것인데, 이상하게 이해한 부분이 있다면 지적해주실 수 있나요?"
254,N,제가 저희 니즈를 풀기 위해 생각해본 것 중 더 필요한 부분이 있으면 알려주세요.
255,N,제가 지금은 새 차 구입에 관심이 없어요.
256,N,맨 처음에 반짝 관심이 있은 후로는 우리 서비스에 대한 요청이 거의 없다.
257,N,귀사의 컴퓨터 주변기기를 한국 시장에 소개하는 데 관심이 있습니다.
258,N,"당사 제안에 관심이 있으신지, 아니면 다른 종류의 제휴를 선호하시는지 알고 싶습니다."
259,N,고객께서 저희 제안서의 세부항목을 논의하는 것에 관심을 보였다는 고무적인 소식을 들었습니다.
260,N,아시아에서 귀사의 제품을 직접 판매할 유통업체 선정에 관심이 있으신지 여쭤보기 위해 메일을 드립니다.
261,N,당사의 유통 경로와 귀사의 마케팅 노하우 결합하는 전략적 제휴 논의에 관심이 있으신지요?
262,N,저희는 앞으로의 프로젝트에 대해 더 세부적인 논의에 관심이 많아서 귀하와의 회의 일정을 잡고 싶습니다.
263,N,신규 일괄 계약 건에 대해 많은 관심 부탁드립니다.
264,N,한정 고객께만 새 서비스를 제공해 드리고 있으니 관심 있으신 분들은 전화를 주시거나 메일로 답변을 보내주시기 바랍니다.
265,N,"저희는 귀사의 배너를 저희의 지점들에 설치하고 고객들에게 귀사 맥주 제품의 할인을 제공하며, 귀사는 모든 텔레비전 광고에서 저희 지점을 홍보해주는 공동 시판 프로모션에 관심이 있습니다."
266,N,저는 그 사업에는 전혀 관심이 없어요.
267,N,"귀사의 포장 시스템에 관심이 있지만, 경쟁사보다 훨씬 더 비싸요."
268,N,분명히 저희 회사에 관심이 많으시리라 생각됩니다.
269,N,관심 있으시다면 이번 세미나에 초청하고 싶습니다.
270,N,귀하께서 저희 실험용 측정 장비에 관심을 가지셨죠?
271,N,우리는 귀사의 제품에 큰 관심을 가지고 있으며 진지하게 검토해 보겠습니다.
272,N,게다가 태추비의 RT40 노트북 컴퓨터에 대한 사전 검토에 관심이 있는지 궁금합니다.
273,N,우리의 제안에 관심이 있으시다면 가능한 한 빨리 알려 주시기 바랍니다.
274,N,"진국 씨, 저희가 아주 관심을 가질 만한 제품을 가져 오신 것 같군요."
275,N,"사실, 저희는 북미지역 시장에서 Ace-XL의 독점 판매를 맡는 데 관심이 있습니다."
276,N,당신이 설명한 제품에 대해 궁금증이 있다.
277,N,A와 다른 회사의 제품인 B사이에 어떤 차이가 있는지 궁금해.
278,N,궁금한 것 중 하나는 비용입니다. 
279,N,저것이 어떤 제품인지 궁금하군.
280,N,저 제품을 고른 이유가 궁금하군요.
281,N,나는 그것들이 팔기 위한 것인지 궁금하다.
282,N,왜 차이가 있는지 궁금합니다.
283,N,난 저 제품이 우리 집과 잘 맞을지 고민중이다. 
284,N,나는 당신이 더 설명할 수 있는지 궁금하다.
285,N,사이트에 몇시에 정보가 올라오는지 궁금하다.
286,N,왜 그렇게 가격이 높은지 궁금하다.
287,N,왜 그렇게 가격이 낮은지 궁금하다.
288,N,난 이 제품에 대해 당신의 견해가 어떤지 궁금하다.
289,N,뭔가 더 궁금한 게 있으시다면 제게 알려 주세요.
290,N,나는 당신이 한 층 더 나아가 설명할 수 있는지  궁금하다.
291,N, 나는 네가 우리를 도와줄 수 있을까 궁금하다.
292,N,"나는 그것이 왜인지 궁금하고, 그에 대한 해답을 원한다."
293,N,저 해결책의 강점과 약점이 무엇인지 궁금하다.
294,N,그것을 이해할 수 있지만 두 가지 궁금한 게 있을 뿐이야.
295,N,저 문제를 고치기 위해 얼만큼 시간이 걸릴지 궁금하다.
296,N,이를 준비하기위해서 무슨 계획이 있는지 우리는 궁금하다.
297,N,나는 네가 나를 도와서 뭔가를 같이 할 수 있을까 궁금해서.
298,N,나는 다른 회사의 제품에 대해서도 궁금하다.
299,N,당신이 나를 어떤 식으로 서비스할 지 궁금하다.
300,N,내가 이것을 사면 비용이 어떨지 궁금하다.
301,T,새 시스템 도입 일정은 내년까지 연기되었다.
302,T,구매일이 확실하지 않습니다.
303,T,그래서 구매하기에 가장 좋은 시점인가요?
304,T,우린 계약일까지 장비를 받아야 한다.
305,T,이 계약의 기간은 계약일로부터 5년 동안 지속된다.
306,T,당신의 계약 기간은 얼마나 됩니까?
307,T,"네, 현재 있는 곳의 계약 기간도 끝나고, 재계약하게 되면 임대료를 더 내야 할 것 같아서요."
308,T,저희 보험회사는 오직 일년 계약 기간동안 두번의 사고만 인정한다는 사실을 알고 계셨으리라 믿습니다.
309,T,계약 기간은 얼마예요?
310,T,처음의 계약 기간은 3년이었다.
311,T,사무실 계약기간은 4년으로 되어있다.
312,T,계약기간이 3년이었으면 좋겠지만 5년이면 더 좋다.
313,T,1 년 내에 이 계약은 시한 만료가 된다.
314,T,개별 계약건의 만료일은 테이블에 제시되있다.
315,T,전 임대 만료일을 갱신하고 싶습니다.
316,T,만료일을 문서로 전달해주세요.
317,T,제가 이 서비스를 사용하는 동안 만료일이 언제인지 알 수 있을까요?
318,T,"만료일이 다음달인데, 제가 이 계약을 연장하려면 언제쯤에 연락을 드려야 하나요?"
319,T,제가 이 상품을 구매하면 만료일 연장에 대한 정보를 어디서 확인할 수 있나요?
320,T,제가 이 계약을 연장하려면 어떻게 해야 하나요? 만료일이 언제인지도 알려주세요.
321,T,만료일이 다가오면 자동으로 연장되는 건가요? 그렇다면 어떻게 취소할 수 있나요?
322,T,이 계약의 만료일을 연장하면 추가 비용이 발생하나요?
323,T,만료일이 언제인지 미리 알려주시면 감사하겠습니다.
324,T,이 상품의 만료일이 다가오면 알림을 받을 수 있는 방법이 있나요?
325,T,만료일이 다가오면 계약을 연장하지 않으면 어떤 일이 발생하나요?
326,T,이 계약의 만료일에 대한 안내를 받을 수 있는 메일 주소를 알려주세요.
327,T,"제가 이 계약을 연장하기 전에, 만료일을 미리 확인할 수 있는 방법이 있나요?"
328,T,이 계약의 만료일을 연장하기 위해 필요한 절차와 조건에 대해 자세히 알려주세요.
329,T,그 임대 계약은 다음 세기의 어느 시점에 분명히 만료된다.
330,T,부동산 중개인이 계약서의 채무기간 만료 전 양도 시 부채청산 조항을 확인했다.
331,T,"전국적인 망을 형성하고 있는 지정 서비스 회사들은 귀하의 가전제품이 최상의 기능을 유지할 수 있도록, 보증기간 만료 이전이건 이후건 서비스를 제공해드리고 있습니다."
332,T,그 쿠폰은 유효기간이 만료되었다
333,T,당신의 임대기간이 만료되었음을 숙지하시오.
334,T,브라이언은 아버지가 휴대전화를 새로 구매할 때까지 인터넷에 무료 접속할 수 있는 2년의 판촉 서비스기간이 만료되었다는 것을 까먹었다.
335,T,"조항 6의 예외조건을 가지고, 어떤 날짜도 기간이 만료되는 것에 대해 어떤 부분의 규정에 명시되지 않고 있다."
336,T,현재 해당 제품에 대한 서비스 기간이 만료되었다.
337,T,해당 계약 기간이 만료되면 계약은 자동으로 무효가 된다.
338,T,"그것이 나쁜 생각은 아니지만, 당신이 제안하는 날짜가 좋은지는 잘 모르겠습니다."
339,T,제안된 기간은 부담스럽고 완전히 수용할 수 없다
340,T,마감일을 확실히 지킬 수 있습니다.
341,T,마감일 지킬 수 있겠어요?
342,T,결제 마감일은 7월 26일이다
343,T,마감일을 못 지키면 어쩌죠?
344,T,프로젝트 마감일이 3주나 앞당겨졌어요.
345,T,우리는 프로젝트 마감일을 정할 거야.
346,T,이사회가 공사의 건설 기본 계획을 의논하기 위해 금요일 아침에 만날 예정이므로 이 마감 날짜는 중요하다.
347,T,우리는 11월 30일 판매계약서에 동의하는 마감기간을 맞출 수 있을 것이라고 저는 확신합니다.
348,T,지금은 그런 대규모 사업을 감행할 시기가 아니다.
349,T,프로젝트는 임시적으로 두 달의 기간이 주어졌습니다.
350,T,납기일은 2007년 3월 25일입니다
351,T,납기일 잊지 마세요. 오늘부터 딱 2주 후입니다.
352,T,납품 기한을 연장해 주셔야겠습니다.
353,T,저희 CEO께서 제안서를 검토하실 수 있도록 3월 22일로 결정 날짜를 연장해도 되겠습니까?
354,T,그들이 언제 결정에 이르게 될까?
355,T,언제쯤 이 거래에 대한 결정을 알려 주실 수 있겠습니까?
